Link,Step2Value,Dropdown1,Dropdown2,Dropdown3,Step5Option1,Step5Option2,Step6Option1,Step6Option2,Step6Option3,"January 13, 2025"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 7,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 8,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 9,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 10,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 11,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 12,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 2,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 3,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 4,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 5,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 6,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 7,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 8,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 9,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 10,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 11,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 12,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-2018,Yes,Intel Core i3,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹13,710"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2018,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹19,840"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2018,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹24,200"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2019,Yes,Intel Core i3,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹14,250"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2019,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹20,620"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2019,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹25,150"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2020,Yes,Apple M1,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹33,210"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2022,Yes,Apple M2,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹43,850"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2023,Yes,Apple M2,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹50,350"
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2014,Yes,Intel Core i3,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2014,Yes,Intel Core i5,8 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2014,Yes,Intel Core i7,8 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2015,Yes,Intel Core i3,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2015,Yes,Intel Core i5,8 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2015,Yes,Intel Core i7,8 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2012,Yes,Intel Core i3,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2012,Yes,Intel Core i5,8 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2012,Yes,Intel Core i7,8 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2013,Yes,Intel Core i3,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2013,Yes,Intel Core i5,8 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2013,Yes,Intel Core i7,8 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2017,Yes,Intel Core i3,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹9,900"
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2017,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹14,300"
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2017,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹17,430"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-late-2016-two-thunderbolt-3-ports,Yes,Intel Core i3,8 GB,128 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,060"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-late-2016-two-thunderbolt-3-ports,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹15,270"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-late-2016-two-thunderbolt-3-ports,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹18,620"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2017-two-thunderbolt-3-ports,Yes,Intel Core i3,8 GB,128 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,500"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2017-two-thunderbolt-3-ports,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹15,950"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2017-two-thunderbolt-3-ports,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹19,450"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2018-touch-bar-four-thunderbolt-3-ports,Yes,Intel Core i3,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹11,500"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2018-touch-bar-four-thunderbolt-3-ports,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹16,630"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2018-touch-bar-four-thunderbolt-3-ports,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹20,280"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2019-touch-bar,Yes,Intel Core i3,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹12,040"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2019-touch-bar,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹17,410"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2019-touch-bar,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹21,230"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2020,Yes,Apple M1,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹37,260"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2021,Yes,Apple M1,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹28,260"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2022,Yes,Apple M1,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹37,710"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2022,Yes,Apple M2,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹46,640"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2023,Yes,Apple M1,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹30,960"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2023,Yes,Apple M2,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹38,280"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2012,Yes,Intel Core i3,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2012,Yes,Intel Core i5,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2012,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,660"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2013,Yes,Intel Core i3,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2013,Yes,Intel Core i5,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2013,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹11,960"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2015,Yes,Intel Core i3,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2015,Yes,Intel Core i5,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2015,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹13,390"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-mid-2014,Yes,Intel Core i3,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-mid-2014,Yes,Intel Core i5,4 GB,250 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-mid-2014,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹13,030"
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,AMD A10,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹3,170"
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,AMD Ryzen 3,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,AMD Ryzen 5,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹7,360"
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,AMD Ryzen 7,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹9,870"
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,Intel Celeron Dual Core,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹1,590"
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,Intel Core 2 Duo,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,₹560
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,Intel Core i3,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,Intel Core i3 2,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,Intel Core i3 3,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,Intel Core i3 4,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,Intel Core i3 5,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,Intel Core i3 6,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,Intel Core i3 7,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
