https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7 9th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7 10th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7 11th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹18,710"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Core i7 12th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹19,710"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Pentium Dual Core,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹1,370"
https://www.cashify.in/sell-old-laptop/used-other-acer-series,Yes,Intel Pentium Quad Core,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹2,350"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,AMD A10,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹4,290"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,AMD Ryzen 3 ,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹7,220"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,AMD Ryzen 5,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹9,950"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,AMD Ryzen 7,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹13,330"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3 2nd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3 3rd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3 4th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹4,670"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3 5th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹6,220"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3 6th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹7,290"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3 7th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹8,420"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3 8th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹9,730"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3 9th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹11,240"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3 10th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3 11th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹14,420"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i3 12th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹15,180"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 2nd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 3rd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 4th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹6,890"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 5th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹8,420"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 6th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,170"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 7th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹11,150"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 8th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹12,950"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 9th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 10th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 11th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹19,100"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i5 12th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹20,960"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 2nd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 3rd Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 4th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹9,460"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 5th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹12,130"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 6th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹14,420"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 7th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹16,820"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 8th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹18,780"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 9th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 10th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 11th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹24,560"
https://www.cashify.in/sell-old-laptop/used-alienware-series,Yes,Intel Core i7 12th Gen,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹25,860"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2018,Yes,Intel Core i3,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹13,710"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2018,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹19,840"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2018,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹24,200"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2019,Yes,Intel Core i3,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹14,250"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2019,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹20,620"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2019,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹25,150"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2020,Yes,Apple M1,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹33,210"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2022,Yes,Apple M2,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹43,850"
https://www.cashify.in/sell-old-laptop/used-macbook-air-2023,Yes,Apple M2,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹50,350"
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2014,Yes,Intel Core i3,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹5,380"
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2014,Yes,Intel Core i5,8 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,260"
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2014,Yes,Intel Core i7,8 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹12,680"
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2015,Yes,Intel Core i3,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹6,210"
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2015,Yes,Intel Core i5,8 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹11,870"
https://www.cashify.in/sell-old-laptop/used-macbook-air-early-2015,Yes,Intel Core i7,8 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹14,680"
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2012,Yes,Intel Core i3,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹4,320"
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2012,Yes,Intel Core i5,8 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹8,190"
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2012,Yes,Intel Core i7,8 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,120"
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2013,Yes,Intel Core i3,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹4,970"
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2013,Yes,Intel Core i5,8 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹9,450"
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2013,Yes,Intel Core i7,8 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹11,670"
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2017,Yes,Intel Core i3,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹9,900"
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2017,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹14,300"
https://www.cashify.in/sell-old-laptop/used-macbook-air-mid-2017,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹17,430"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-late-2016-two-thunderbolt-3-ports,Yes,Intel Core i3,8 GB,128 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,060"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-late-2016-two-thunderbolt-3-ports,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹15,270"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-late-2016-two-thunderbolt-3-ports,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹18,620"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2017-two-thunderbolt-3-ports,Yes,Intel Core i3,8 GB,128 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,500"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2017-two-thunderbolt-3-ports,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹15,950"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2017-two-thunderbolt-3-ports,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹19,450"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2018-touch-bar-four-thunderbolt-3-ports,Yes,Intel Core i3,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹11,500"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2018-touch-bar-four-thunderbolt-3-ports,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹16,630"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2018-touch-bar-four-thunderbolt-3-ports,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹20,280"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2019-touch-bar,Yes,Intel Core i3,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹12,040"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2019-touch-bar,Yes,Intel Core i5,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹17,410"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2019-touch-bar,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹21,230"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2020,Yes,Apple M1,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹37,260"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2021,Yes,Apple M1,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹28,260"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2022,Yes,Apple M1,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹37,710"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2022,Yes,Apple M2,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹46,640"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2023,Yes,Apple M1,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹30,960"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-2023,Yes,Apple M2,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,Between 1 and 3 years,Good,"₹38,280"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2012,Yes,Intel Core i3,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹4,270"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2012,Yes,Intel Core i5,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹6,940"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-mid-2012,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹10,660"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2013,Yes,Intel Core i3,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹4,780"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2013,Yes,Intel Core i5,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹7,780"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2013,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹11,960"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2015,Yes,Intel Core i3,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹5,340"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2015,Yes,Intel Core i5,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹8,700"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-early-2015,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹13,390"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-mid-2014,Yes,Intel Core i3,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹5,200"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-mid-2014,Yes,Intel Core i5,4 GB,250 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹8,470"
https://www.cashify.in/sell-old-laptop/used-macbook-pro-retina-mid-2014,Yes,Intel Core i7,8 GB,256 GB SSD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹13,030"
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,AMD A10,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹3,170"
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,AMD Ryzen 3 ,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹5,340"
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,AMD Ryzen 5,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹7,360"
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,AMD Ryzen 7,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,Intel Celeron Dual Core,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,"₹1,590"
https://www.cashify.in/sell-old-laptop/used-asus-k-series,Yes,Intel Core 2 Duo,4 GB,500 GB HDD,12-13 inch,Graphics Card not available,Flawless,More than 3 years,Good,₹560
